Time,Predator,Prey,Plant
4.166666561407813E-6,50,1000,1000
8.333333122815626E-6,69,3057,958
1.249999968422344E-5,69,3194,650
1.666666624563125E-5,72,3242,443
2.0833332807039067E-5,72,3282,311
2.499999936844688E-5,72,3297,237
2.9166665929854695E-5,72,3297,178
3.33333324912625E-5,72,3296,143
3.749999905267032E-5,72,3296,120
4.1666665614078134E-5,72,3301,104
4.583333217548595E-5,72,3301,100
4.999999873689376E-5,72,3300,94
5.4166665298301574E-5,72,3300,86
5.833333185970939E-5,72,3300,84
6.24999984211172E-5,72,3300,83
6.6666664982525E-5,72,3300,79
7.083333154393283E-5,72,3299,79
7.499999810534064E-5,72,3299,78
7.916666466674846E-5,72,3299,78
8.333333122815627E-5,72,3299,77
